name,address,website,phno,email
Saksham IIT/PMT,"A1/92, Janakpuri, Delhi, 110058",http://iitpmtsaksham.com/,"['9560771711', '011-40597195']",[]
Sketcharts,"Pocket B, Block 2, Ashok Vihar, Phase 3, Near Satyawati College/Model Town Metro Station, Delhi, 110052",http://sketcharts.net/index,"['9711243087', '9213583318']",['sketcharts.studio@gmail.com']
Agrawal's Mathesis Study Hub,"7/11, Old Double Storey (Nirmal Puri), Near Nagpal Chole Bhature, Block 7, 110024, Lajpat Nagar IV, Lajpat Nagar 4, Delhi, 110024",,['7838803755'],[]
Maa Saraswati Coaching,"AC Block – 151 A, Shalimar bagh, Delhi, 110088",,"['9871952679', '9654189242', '9654793081']",[]
Gyan Tutorials Bureau,"R-67, Block-B, East Vinod Nagar, First Floor, Delhi, 110092",,"['9899391076', '9899391069']",[]
Unitech Study,"104/9, Kishangarh, Vasant Kunj, Infront of Chevrolet Showroom, Delhi, 110070",,"['9013822118', '8447522772', '7838157240', '8595212451', '9990783396', '8447923889']",['unitechstudy@gmail.com']
TeachingCare.com,"No. 21, Third Floor, Guru Nanak Market, Lajpat Nagar 4, Delhi, 110024",https://www.teachingcare.com/,"['9811000616', '8882100700']",['info@teachingcare.com']
Saxena Success Point,"Study Centres- P2 Complex, Brig. Hoshiar Singh Road, Delhi, 110023",http://saxenasuccesspoint.com,"['011-24673656', ' 24673657']",[]
Geetanjali Classes,"Sector 108, NOIDA, Delhi,",,"['9818590493', '9555662023']",['knowledgeacademy6@gmail.com']
Savant Education Group,"E-17, East of Kailash, Delhi, 110065",,"['9891292326', '9599472822', '011-26224417']",['info@savantgroup.org']
Linguistic Seed,"D-11/112, Sector 7, Rohini, Delhi, 110085",http://www.linguisticseed.in/,"['9899892448', '9910080348']",[]
Carrer Guru 4U,"D-239, 2nd Floor, Vivek Vihar, Delhi, 110095",http://www.careerguru4u.com/,['8587902974'],[]
Pentagonal Science Institute,"RZ 615-C, Main Road, Palam Colony, Delhi, 110075",http://www.pentagonalscienceinstitute.com/,"['9810337584', '011-25364306']",['psi2277@gmail.com']
Education Studio,"Registered Office- E-16/64-65 3rd Floor, Sector 8, Rohini, Delhi, 110085",http://www.educationstudio.in,['011-45130105'],['info@educationstudio.in']
Eduplus Academy,"226, 2nd Floor, Vardhman Premium Mall, (Opp. Kali Mandir), Delhi, 110088",,"['9871257657', '011-32933366']",[]
Pandey Study Circle,"230-A, Jin Suri Complex, South Extension Part– II, Delhi, 110049",http://pandeystudycircle.com/,['9313900584'],['pandey.study.circle@gmail.com']
Saksham Tutorials,"Flat #1195 G.S. 14, Pashim Viha, Delhi, 110063",http://www.sakshamtutorials.com/,"['9910021888', '9958580499']",['info@sakshamtutorials.com']
Lakshay 90Plus Classes,"106, Tirupati Plaza, Pocket 4 Market Sector 11, (Near Metro Station) Dwarka, Delhi, 110075",http://lakshay90plusclasses.com/index.html,"['011-45725326', ' 64657642', ' 64657643']",[]
Knowledge Development Centre,"Information Centre- 81, IInd Floor, G.T.B. Nagar, Kingsway Camp, Delhi, 110009",http://www.kdconline.in,['011-43701283'],[]
Tapasaya Academy,"C-8/4, Sector 7, Sai Baba Chowk, Near East Metro Station, Delhi,",,"['9311116855', '9311116877', '011-27051504']",[]
Edu Spine,"A-1/105, Sector 6, Rohini, Delhi, 110085",https://www.facebook.com/eduspine2010/,"['9818845676', '011-65785700']",[]
Mission IIT PMT academy,"863/3, Sant Nagar, Main Market, Burari, Near Canara bank, Delhi, 110084",,"['9650232969', '011-33631523']",[]
Prodigy Institute,"38/52, Road Number 51, West Punjabi Bagh, Delhi, 110026",http://www.prodigyinstitute.in,"['9811898980', '011-65924832']",['contact@000webhost.com']
Scholars Academy,"A-4/44, First Floor, Paschim Vihar, Delhi, 110063",,"['9811387306', '011-47625625', ' 45510744']",[]
The Sai Career Crafters,"205, Rajendea Tower, Janak Puri, Near Janakpuri Bus Stop, Delhi, 110001",,"['986520282', '8802020282', '011-25620282', ' 25540282']",['info@saitutors.com']
Sareen's Physics Classes,"B-22, Near Rama Book Depot, Dayanand Colony, Lajpat Nagar, Delhi, 110024",http://sareenclasses.in/index.php,['9711189465'],['madhav86sareen@gmail.com']
Sankalp Academy,"F-9, Main Road, Katwaria Sarai, Delhi, 110016",,"['9810397667', '9540236798']",[]
Smart Careers,"No. B16/47, Connaught Place, Delhi, 110001",,"['011-43580697', ' 43580645']",[]
Brills Education India,"#165, Kapil Vihar, Main Road, Pitampura, Above HDFC Bank, Delhi,",,"['011-27157766', ' 27157788', ' 27196333']",[]
Bhargavas Classes,"59/2, 2nd Floor, Hauz Khas, Delhi, 110016",,['011-41684080'],[]
Einstein Classes,"Unit No. 102-103, Vardhman Ring Road Plaza, Vikas Puri Extention, Outer Ring Road, Delhi, 110018",http://WWW.einsteinclasses.com,['9312629035'],['einsteinclasses2003@gmail.com']
F.M.Q. Classes Private Limited,"Jamia Nagar, Okhla, Batla House, Zakir Nagar Main Road, Block C, Joga Bai Extension, Zakir Nagar Okhla, Delhi, 110025",,['011-26922827'],['fmqclasses4@gmail.com']
Ashadeep Classes,"206, Basement, Vinoba Puri, Lajpat Nagar II, Delhi, 110024",,"['9910009351', '9990995641', '011- +(91)-11-39545716']",[]
Saraswati Academy,"33, First Floor, Central Market, Opposite Police Station, Ahok Vihar, Delhi, 110052",,['011-66732698'],[]
Competent Academy,"AB 26, Shalimar Bagh, Delhi, 110088",,"['9891699977', '9212208423', '011-27486300']",['competentacademy@rediffmail.com']
Knowledge Infinity,"K–7B, Lower Ground Floor, Kalkaji, Delhi, 110019",,"['9711153336', '9811130500', '011-45066319']",['knowledgeinfinity.in@gmail.com']
Intelligent Tutorials,"Vashisht Park, Gali No. 15, Pankha Road, Sagarpur, Delhi, 110046",,"['9810776204', '9891217875', '9891236190', '9910739484']",[]
Kapoor Coaching Academy,"C-147, Basement, Lajpat Nagar II, Near Central Market, Delhi, 110024",http://tutorialprivate.com/,"['9818445395', '9811697287', '011-46520699']","['pratan2345679@gmail.com', 'taneja_kca@yahoo.co.in']"
Aastha Education,"#171-C, TMIG (Red Fla, Rajouri Garden), Delhi, 110027",,"['9871857723', '9999073399']",[]
S.K. Coaching Centre,"Tara Nagar, Uttam Nagar, Delhi, 110059",,['9211402968'],[]
Vision to Education,"J-3/186, Nehru Market, Rajouri Garden, Near Gurudwara, Delhi, 110027",,['011-33986808'],[]
Genius Physics Classes,"16/430, Second Floor, Lodhi Colony, Delhi, 110003",,['011-66880691'],[]
Locus Education,"65-A, Ompro Tower, Near IIT Flyover, Kalu Sarai, Hauz Khas, Delhi, 110016",http://www.locuseducation.org/,"['9717509961', '011-46080145', ' 46080146']",[]
Aryabhatt Classes,"Plot No. 5, 3rd Floor, Sikka Mansion, Savita Vihar, Delhi, 110092",,"['9810558844', '011-43908888']",[]
Vidya Niketan Classes,"C2C/12/144, Janakpuri, Near Central School, Main Road, Delhi, 110058",,['9560113398'],[]
Mishra Tutorials,"604, Main Market, Green Park, Delhi, 110016",,['011-66535899'],[]
Kumar Physics Classes,"E-281, Basement, Near M Block Market, Greater Kailash II, Delhi, 110048",http://www.kumarphysicsclasses.com,"['9958461445', '011-41032244']",[]
Skyline Tutorial,"E-97, Near P.N.B., P.N.B. Road, Shastri Nagar, Delhi, 110052",,"['9250318283', '9811229946', '9136244554']",[]
Kiran Institute,"6 and 7 A Block, M.C. Primary School, Ghasipura, Nangli Vihar, Delhi, 110043",,['011-66731426'],[]
Sai Raman Academy,"831, 832, G.D. Colony Mayur Vihar- III,, Delhi, 110096",,['9650877888'],[]
Sarthak Academy,"Rajouri Garden, Near ESI Hospital, Delhi, 110027",,"['9810514982', '011-25935856']",[]
Swastik Classes,"H-85, Near Bengali Sweets, South Extension- I,, Delhi, 110049",,"['9540957585', '011-66450716']",[]
Shiksha Classes,"3/1, Ashok Nagar, Delhi, 110018",http://www.physicsshiksha.com/,"['9818565111', '9818809196', '9717743117', '011-65659196']",[]
Toppers Classes,"WZ79, Shop No. C6, 1st Floor, F-Block, Virender Nagar, Janakpuri,, Delhi, 110058",,['9810108134'],[]
Aim Achiever,"B 34-A, Kalkaji, Delhi, 110019",,['011-66217052'],[]
Divine Educational Institute,"80/33, Near Ganpati Apartment, Malviya Nagar, Delhi, 110017",,"['9711276869', '011-41006227']",['divineugcnet@gmail.com']
Career Point Academy,"E-6/5, Krishna Nagar, Opposite Swarn Cinema, Near Bus Stand, Delhi,",,['011-22025611'],[]
Prateek Tutorials,"12/21, First Floor, Near Water Tank, old Rajender Nagar, Delhi, 110060",,"['9810443443', '011-25753443']",[]
Gurukul Excellent Education,"D-11-146, Sector 7, Rohini, Near Sai Baba Mandir, Delhi, 110085",,"['9873554499', '9971333170', '011-270440222']",[]
Sachdeva Coaching Institute,"3130, Mahindra Park, Near Kapil Body Temple, Ranibagh, Delhi, 110034",,"['9899729696', '9999506061', '9313709357']",['rbsachdeva@yahoo.com']
Impact Tutorials,"DA-4, 3rd Floor, Lakshmi Nagar, Near Metro Pillar No. 52-53, Vikas Marg, Shakarpur, Delhi, 110092",,['9213270286'],[]
Pinnacle Competitive Classes,"Head Office- 155, 2nd Floor, Kapil Vihar, Delhi, 110034",http://pinnacleclasses.com,"['9811787073', '011-27351187']",[]
Raj's Math Academy and IIT Academy,"C 7-223, Sector 8, Rohini, Delhi, 110085",,['011-66356516'],[]
Aryan Institute,"DS, First Floor CSC, Dda Market, Pkt A, Dilshad Garden, Delhi, 110095",,"['9999505849', '9911729364', '011-22596098']",[]
Jupiter Coaching Center,"B-325, Sarojini Nagar, Delhi, 110023",,"['9953723503', '8800265790']",[]
Galaxy Coaching Center,"D-35, 2nd Floor, Acharya Niketan, Mayur Vihar Phase 1, Delhi, 110091",,"['9818146028', '9818054944', '011-32539683']",[]
Surya Shiksha Mandir,"Plot No. C-4/4, First Floor, Bhagwati Garden Extn, Dwarka, Delhi, 110059",,['011-32229211'],[]
Plasma Institute,"F-13/5, Batla House, Near Jamia Corprative Bank, Street No. 1, Nafees Road, Jamia Nagar, Delhi, 110025",http://plasmainstitute.com/,"['9350005771', '9868326979', '011-26988514']",['info@plasmainstitute.com']
Compu Host Institute Of Learning,"Shop No -106/107, Vardhman Crown Mall, Dwarka Sector 19, Delhi, 110075",,['9152839832'],[]
Alpha Beta Gamma Coaching,"Flat No. 55, Bpocket 2, Opp. Shiv Mandir Sector 6, Dwarka, Delhi, 110075",,"['9899221900', '9599221900', '011-28086709']",[]
Pariksha Coaching Center,"RZ, D-5/75, BH OBC Bank, Gali No. 6, Mahavir Enclave, Delhi, 110045",,"['9999220015', '011-45564423']",[]
Ashapeef Tutorials,"#65-A, Ompro Tower, Kalu Sarai, Sarvapriya Vihar, Delhi, 110016",,"['011-26515394', ' 26514928', ' 33400116']",[]
Brothers Academy,"4th Floor, Tirupati Towers, Circular Road, Delhi, 834001",,"['9835591911', '0651-6571441']",[]
Career Orientations,"#94-B, Hindi Park Daryaganj, Delhi, 110002",,"['011-23286391', ' 33286358', ' 23260248']",[]
Career Masters Institute,"#G-ll, Anupam Plaza-56/1, Kalu Sarai, Near Hauz Khas Bus Terminal, Delhi, 110016",,"['011-26852801', ' 26537521']",[]
Acumen IIT JEE Classes,"A-190/12, First Floor, Near Beri Wala Bagh, Aali Vihar, Sarita Vihar, Delhi, 110076",,"['9810778881', '9350154037']",[]
Laureates Tutorials,"E-241, 1st Floor, Tagore Garden Extension, Delhi, 110027",,"['9818972575', '9811762907', '011-33059031']",[]
Gurdeep Coaching Classes,"B.C. 111-B East, Near Kali Badi Mandhir, Shalimar Bagh, Delhi, 110088",,"['9212635967', '9211549354']",[]
Omega Education,"B2/1, Paschim Vihar, Delhi, 110063",,['011-25289166'],[]
Satija Tuition Center,"B-3, Basement Pankaj Chamber, Near Apollo Hospital, Pocket-H Market, Sarita Vihar, Delhi, 110044",,['9810388369'],[]
Asha Deep Tutorials,"65/A, Ompro Tower, Hauz Khas, Delhi, 110016",,"['9813300116', '011-26515394', ' 26514928']",[]
Tripos Institute,"C-12/212, Yamuna Vihar, Delhi, 110053",,"['8527538000', '8527438000']",[]
Rohit GyanshreeIIT Educorp Private Limited,"A-8, Main Road, Uttam Nagar,Near Uttam Nagar East Metro Station Gate No. 2, Delhi, 110059",,['9152410083'],[]
IIT Hub,"106 and 102, First FLoor, R.G. Complex II, Prashant Vihar, Sector 14, Rohini, Near PVR, Delhi, 110085",,['9810059367'],[]
The Tutors Planet,"303 Aggarwal Tower, Plot No. 2, Sector 5, Central Market, Dwarka, Delhi, 110075",http://www.thetutorsplanet.com/index.aspx,"['9810795022', '9312208279', '9654799351', '9718926200']","['student@thetutorsplanet.com', 'tutor@thetutorsplanet.com']"
Moon Rise Classes,"41/77, Iskcon Temple, Punjabi Bagh Club, Punjabi Bagh Club Road, Punjabi Bagh West, Delhi, 110026",,"['9582426241', '8130586345']",[]
I Think Learning Systems,"A-1175, G.D. Colony, Mayur Vihar, Phase III, Delhi, 110096",,"['9871192541', '011-64612426']",[]
Maths Panache,"297 Ground Floor, Satya Niketan South Campus, Opp. Venketshwara College, Delhi, 110021",http://mathspanache.com/,['9891815787'],[]
Dhingra Education Bureau,"D-34B, Ground Floor, Moti Nagar, Delhi, 110015",,"['9891779712', '9911104761', '9911104781']",[]
Ankit Gupta Classes,"Rani Bagh, Pitampura, Delhi, 110034",http://ankitguptaclasses.weebly.com/,"['9899875480', '9541241201']",[]
AR Bose Institute,"A-4/24, Sector 18, Rohini, Delhi, 110089",http://www.bipsconsultancy.com/,"['9971440914', '011-64589669', ' 27853339']",[]
Alpha Institute,"C-705, 3rd Floor, Plam Ext. Siksha Bharat School Road, Sector 7, Dwarka, Delhi, 110075",,['9910675852'],[]
Amit Anand Coaching Centre,"Geeta Colony, Gandhi Nagar, Near Taj Enclave, Delhi, 110031",,['9811437763'],[]
Amar Soni Coaching Classes,"Paschim Vihar, Delhi, 110063",,"['9213520935', '9871406978', '011-25282404']",[]
Achievers Center of Learning,"Rz 74/4, 2nd Floor, Near Fortis Hospital, Kishan Garh, Vasant Kunj, Delhi, 110070",,['011-66356206'],[]
IKAN Education,"F-76, 2nd Floor, M.B. Road, Saidulajab, Beside Saket Metro Station, Delhi, 110030",http://www.ikaneducation.com/,"['8287620350', '8287620392', '8287629288', '011-40570872']",['ikaneducation@gmail.comikaneducation@gmail.com']
Sahil Education Coaching Centre,"B 1-637, Near East Metro Station, Janakpuri, Delhi, 110058",,"['9818557082', '9818557084', '011-25554045']",[]
Study Planet Tutors,"1098/8, Mehrauli, Delhi, 110030",http://www.delhituition.in/home,"['', '9711674929']",['studyplanettutors@gmail.com']
ACME Zone,"#223, Pocket D-14, Sector 7, Rohini, Delhi, 110085",,"['011-27934466', ' 27054452']",[]
Academy of Mathematics,"S-16, Pankaj Central Plaza, Plot No. 5, Sector 12, Dwarka, Delhi,",,"['9810901638', '9868070502']",[]
Concepts Tutorial,"Vardhaman Airport Plaza 2, Sector 6, Dwarka (Near Railway Station), Delhi, 110075",,"['9313990399', '011-65482646']",[]
Star Institute,"A-138, Ganesh Nagar, Delhi, 110059",,"['9971791291', '9971912910', '+91 11 39642363']",[]
Saraswati Mandir Classes,"B-38, Opposite CRPF School, Prashant Vihar, Rohini, Delhi, 110085",,"['9810064792', '011-27864658', ' 27861461']",[]
Angira Classes,"B-138, IInd Floor, Ganesh Nagar (West), Main Najafgarh Road, Opp. Amar Leela Hospital, Delhi, 110018",,"['011-25921818', ' 25921819']",[]
Success Educational Institute,"Durga Puri Chowk, Jyoti Colony, Shahdara, Delhi, 110032",,['9810913373'],[]
Bhandari Education Centre,"Street No. 6, Vinod Nagar, Delhi, 110092",,"['9911166415', '9250698415']",['ssbhandari2@gmail.com']
ChemistryMINDS,"2580, Hudson Line, Behind Khalsa College (DU), Near GTB Nagar Metro Station, Gate No. 3, Kingsway Camp, Delhi, 110009",http://www.chemistryminds.com,"['9891602060', '9540169164']",[]
Helix Classes,"F-238-A, Mangal Bzr., Main Road, Laxmi Nagar, Delhi, 110092",,"['9899718152', '9899337850']",[]
N.P. College,"House No. 3550, Jatwara Street, Near Sablok Clinic, Daryaganj, Delhi, 110002",,"['9810032531', '011-23255084']",[]
Ideal Day Tutorials,"House No. 60, Gali-12, Meethapur, Badarpur, Delhi, 110044",,['011-66538468'],[]
Omni Eduknow,"GTB nagar metro station, 1B, 2nd floor Near Number 4, Delhi Gate, Mukherjee Nagar, Delhi, 110009",,['9990101048'],[]
Chinar Education,"C 404, Main Ramphal Chowk, Sector 7, Dwarka, Delhi, 110077",,"['9811224567', '011-66361096']",[]
Glare Academy,"T-2, TSL Tower, LSC Complex, Plot No. 3, Dwarka, Sector 4, Delhi, 110078",,"['8130550149', '011-65577315']",[]
Aryabhatt Coaching Center,"No. D279, Street No. 3, Phase 2, Near Radha Swami Satsang Bhawan, Najafgarh, Delhi, 110043",,"['8010193207', '9540769169', '9868114511']",['shekhar.smn061@gmail.com']
Eduntar Education,"N148, Laxminagar, Narayana Nagar, Delhi, 110092",,"['9582257569', '9582257564', '011-64653444']",[]
Naveen Academy,"Block I 36-37, Near Delhi Chat Bhandar, Jahangirpuri, Delhi, 110033",,"['9811628083', '9311181711', '9310587171']",[]
Shri Ram Aggarwal Study Centre,"2nd Floor, Shri Hari Bhawan, Laxmi MarketA, Opp. Canara Bank, Delhi, 110067",,"['9811213840', '011-26715357']",[]
K.H. Gravity Coaching Center,"40-A, First Floor, Gali No. 1, Kundan Nagar, Near Lakshmi Nagar Metro Station, Delhi, 110092",,"['9818318303', '011-22442784']",[]
Expert Talk Academy,"1057, Ward No. 8, Near Gurwala Kuan, Mehrauli, Delhi, 110030",,"['8447819177', '011-26641681']",[]
Maharaj Institute,"B-1/233, Basement, Yamuna Vihar, Delhi, 110053",,"['9971014251', '9891181058', '9971014254']",[]
Anil Coaching Centre,"No. 127/3, Sector 11, Dwarka, Delhi, 110075",,"['9871652858', '9310861725']",['aniljha.127@gmail.com']
Expert Online Tutor,"205, Vardhaman Prasad Plaza, MLU Pocket 6, Plot No. 1, Sector 12, Dwarka, Delhi, 110075",expertonlinetutor.in,"['9717289969', '9650611320', '011-42263176']",['care@expertonlinetutor.in']
Meditech,"E-1075, Basement, Dwarka Sector 7, Delhi, 110075",,['9152463453'],[]
Arora's Educational Services,"B-37, Madhu Vihar, 2nd Floor, Street No. 14, Patparganj, Delhi, 110092",,"['9560308806', '011-22239034']",[]
Sharma Tutorial,"Preetvihar, Near Gurudwara, Preet Vihar, Delhi, 110092",,"['9811068313', '9968491542']",[]
High Achievers Academy,"188, Sant Nagar, Sai Plaza Building, East of Kailash, Delhi, 110065",,"['011-41622038', ' 41622039']",[]
Sudhir Panwar Coaching Classes,"D-14-222, Opposite Canra Bank and Near Ayodhya Chowk, Sector 3, Rohini, Delhi, 110085",,['011-66430881'],[]
Nes Edu Centre,"298, Satya Niketan, First Floor, Near Venkateshwara Collage, Dhaula Kuan, Delhi, 110010",,"['9818040430', '011-24675793', ' 24677731']",['rnigah76@gmail.com']
Srijan Study Circle,"Shop No. 48, First Floor, New Market, Timarpur, Delhi, 110054",,['9911757737'],[]
Vikas Institute of Education,"32, R.R. Block, Opposite Metro Station, Near Vikas Mall, Shahdara, Delhi, 110032",,"['8802730777', '9910702526']",[]
Physics and Chemistry Experts,"Flat No. 184, Gangotri Apartment, Sector 12, Dwarka, Delhi,",,"['9810458405', '011-28031232']",[]
NS Coaching Centre,"Main Road, Near Mahavir Dharam Kanta, Kondli, Delhi, 110096",,['9891681461'],['nscompound7879@yahoo.com']
JEE Plus,"J-3 9, Near Krishna Mandir, Khirki Extn, Malviya Nagar, Delhi, 110017",,['9718666634'],[]
J.M.S. Tutors,"404, Senior Secondary School, Sector 2, Rohini, Delhi, 110085",,"['9811657063', '989984074', '011-27517504']",[]
Kochar Study Circle,"RDC-38, Raj Nagar, Delhi, 201002",,"['9871166055', '9873583899', '0120-4132496']",[]
Premier Tutors Bureau,"NDSE, South Extension Part II, Delhi, 110049",,"['9810692537', '9811098943', '011-26255644', ' 26108925']",[]
Physics Chemistry and Bio Experts,"Flat No. 184, Pocket 1, Gangotri Appartment, Sector 12, Dwarka, Delhi, 110075",,"['9810458405', '011-28031232']",[]
Conceptual Physics Institute,"B-9/9096, LIG, Ground Floor, Near JISM, Vasant Kunj, Delhi,",,"['9312158838', '9910530955']",[]
Shikshantar Tutorial,"Anand Vihar, Delhi, 110092",,['9313284345'],[]
Safal Study Circle,"AJ-31 C, Opp. Everbake, Shalimar Bagh, Delhi, 110088",,['9810125456'],[]
Jasbinder Singh Academy,"S-37, Kalkaji, Delhi, 110019",,['9810519904'],[]
Achievers Education Point,"#2142/A, Bawana Road, Narela, Delhi, 110040",,['9654555431'],[]
Anika Tuition Center,"Fine Home Apartment, Near Jeevan Anmol Hospital, Mayur Vihar, Delhi, 110091",,"['8826037770', '011-43044073']",[]
Manoj Kumar Rajhans Coaching Classes,"Sector 3, Pushp Vihar, Saket, Malviya Nagar,, Delhi, 110017",,['9810843066'],[]
Global India Education,"WZ 118, Subash Nagar, Rajouri Garden, Delhi, 110027",,"['9569031191', '8447049501', '7503531411']",[]
Edusys Learning Media,"103, Ground Floor, Taj Apartment, Safdarjung Enclave,, Delhi, 110029",http://www.edusys.in/,['011-26161014'],['edusys.in@gmail.com']
Sri Ram Tutors Bureau,"Guru Angad Nagar, Plot No. C/17/B/5, Raj International Business Centre, Guru Nanak Pura, Delhi, 110092",,"['9999262608', '9999205120', '011-22527793']",[]
R.B. Tutors Bureau,"132-A, L.I.G. Flat, Mayur Vihar Phase 3, Mayur Vihar, Delhi, 110095",,"['9811745395', '9871380708']",[]
Foundation Institute of Integrated Technical Studies,"Plot No. 2, 2nd Floor, Aggarwal Tower Sector 5, Dwarka, Delhi, 110075",,"['9891252515', '011-32538216']",['fiits_js@yahoo.co.in']
Subodh Maths Classes,"Shop No. E-67, Bank Streat, Laxmi Market, Munirka, Delhi, 110067",,['9660857116'],[]
IIFA,"Ground Floor, Janakpuri, Delhi, 11058",,"['011-25556010', ' 25556011']",[]
Discovery IIT PMT,"B-15, 3rd Floor, Shankar Garden, Vikaspuri, opp.metro pillar no.609 nr unity mall, Delhi, 110018",,"['9213941681', '9958583752', '011-45542850']",[]
Delgem Academy,"C-12, Vikaspuri, Delhi, 110018",,"['011-25559589', ' 25614373']",[]
Basant Tutorials,"#B-V 637, Janakpuri, Delhi, 110058",,"['9212546456', '011-41027641', ' 64617641']",[]
Educare 4U,"D-135, Fateh Nagar, Jail Road, Near Bikaner, Shiv Nagar, Janakpuri, Delhi, 110058",http://www.educare4u.in,['9810366355'],[]
Eearth Institute,"Door No. 426, Deepali Enclave, Delhi, 110034",,"['9818123472', '8527128271', '011-27010047']",[]
Anil Home Tuition,"D-45, Lig Flats, G.T.B. Enclave, Dilshad Garden, Delhi, 110095",,"['9868137337', '9013137337', '7503404640', '011-22578884']",[]
Tapovan Classes,"A-1/17, Near Akash Institute, Main Najafgarh, Janakpuri, Delhi, 110058",,"['9650877808', '011-41022174']",[]
Sudarshan Rai Coaching Centre,"No. 1, 2nd Floor, Kishan Kund, Lakshmi Nagar, Delhi, 110092",,"['9810701368', '011-43017076']",[]
Sai Ram Home Tutors,"A-2, First Floor, 11/9, Kishan Garh, Near Gousala, Vasant Kunj, Delhi, 110070",,['011-66733588'],[]
Akshat Agrawal Maths Classes,"D-3, Near Hauz Khas, Vasant Kunj, Delhi, 110070",,['9990603640'],[]
Daffodils Educational Service,"Office No. 66-B, Basement, Kalkaji, Near Planet M, Delhi, 110019",,['9999222738'],[]
Pembinaan Classes,"89 A, B Block, Near Pal Chowk, Susheela Garden, Mandoli, Delhi, 110093",http://www.pembinaanclasses.com/,"['9999864406', '8287586807']",[]
Sufal Physics Forum,"#JF-9/C-4, Gupta Colony, Khirki Extension, Malviya Nagar, Delhi, 110017",,['9891299835'],[]
Gyan Sanstha IIT,"205, Odean Plaza 2, Plot 13, 2nd Floor, Sector 10, Dwaraka, Delhi, 110075",,"['9871232942', '011-66357317']",[]
Benzene Classes,"F-170, Swastik Apptt, Flat No. 301, Lado Sarai, Delhi, 110030",,['9891367444'],[]
Mishra Home Tutors,"B-872, Main Road, South Extension 1, Delhi, 110017",,"['9891239133', '9211353777', '011-65855440']",[]
Capital Institute of Competition Training,"G-19, 3rd Floor, Community Centre, Above Tequila Restaurant, Vikas Puri, Delhi, 110018",,"['011-25527006', ' 25527007', ' 35603385']",[]
The Acacia Tutors,"Vasant Kunj, Delhi,",,['9818540085'],[]
Manasarovar Academy,"House No. 7, Near Dhingra Park, Shiv Manoir, Road No. 5, East Punjabi Bagh, Punjabi Bagh, Delhi, 110026",,"['011-25100093', ' 42460493']",[]
Shanti Prakash Academy for Career Excellence,"80, 2nd Floor, Defence Enclave, Opp. Preet Vihar Petrol Pump, Vikas Marg, Delhi, 110092",,"['9999042794', '011-47603516']",[]
R.K. Singh Tutorial,"19-A, Mayur Vihar Phase 1, Back Side of Police Apartments, Delhi, 110091",,['9971660095'],[]
Galaxy College of Science and Commerce,"138, Bhagwan Nagar, Near Jeevan Hospital, Ashram, Delhi, 110014",,"['9868251244', '9818949876']",[]
Prakash Future Engineers Study Forum,"30, Basement, Central Market, West Punjabi Bagh, Delhi, 110026",,"['9811753488', '011-25280477', ' 25220806']",[]
Shilpa Tuition Bureau,"193, 3rd Floor, Rithala Metro Station, Sector 24, Rohini, Delhi, 110085",,"['9868146022', '9811766552']",[]
Verma Institute of Maths,"4/3, First Floor, Opp. Govt Girls Senior Secondary School, Ashok Nagar, Tilak Nagar, Delhi, 110018",,"['9312246110', '011-25490669']",[]
Gsscon Acedemy,"46, Gali No. 1, Near Indian Bank, Pratap Nagar, Mayur Vihar, Phase I, Delhi, 110091",,['9811636987'],[]
Siddharth Deep Institute,"A-1/296, Pankha Road, Janakpuri, Delhi, 110058",,['9971699659'],[]
Physics Guru,"F-170, Swastik Apt, Flat No. 302, Gali Mirza Wali, Lado Sarai-Mehrauli, Delhi, 110030",,"['9871708162', '9810099291', '011-29521707']",[]
ACMEE Institute,"55B, Nisha Complex, Opp. IIT, Kalu Sarai, Delhi, 110016",,"['9871078619', '011-26515412']",[]
God Education Centre,"107, Shop No. 3, West Vinod Nagar, Mayur Vihar, Khichripur, Delhi, 110091",,"['9899148128', '9312648412']",[]
Rawat Coaching Center,"A-43, Gali No. 10, Vinod Nagar West, Delhi, 110092",,['8447560324'],[]
Sharp Brain Academy,"8/11, Opposite Hotel Siddharth Palace, East Patel Nagar, Delhi, 110008",,"['9818756880', '011-45059247']",[]
Sukriti Classes,"B-9, Shankar Garden, Near Dhauli Piau, Najafgarh Road, Vikas Puri, Delhi,",,"['9810268136', '011-45547819']",[]
Aim IIT,"Shop No. 303, Vardhman DEE CEE Plaza, K.M. Chowk, Pocket 1, Sector 11, Dwarka, Delhi, 110075",,"['9013330667', '9899957860', '9212348424', '011-45769447']",[]
Diksha Future Point,"G-39, Opp. Metro Pillar No-714, Kiran Garden, Uttam Nagar, Delhi, 110059",,"['9717145957', '9990472941']",[]
Tripathi Tutors,"#T953/1, 3rd Floor, Nehru Road, Arjun Nagar Lodhi Road, Delhi, 110003",,"['9871386424', '011-32550403']",[]
IITJEE Rnis Academy,"54-56-C, First Floor, Kalu Sarai Bh Hauz Khas Bus Terminal, Hauz Khas, Delhi, 110016",,"['011-47101000', ' 46043784', ' 46022763']",[]
Nitin Sharma Chemistry,"1/5606, Balveer Nagar Extn., Near Energy Point, Street No. 14, Shahdara, Delhi, 110032",,"['9013883144', '8802041081', '011-66723561']",[]
Tutors Forum,"Office No. 307, Plot No. 4, Pankaj Plaza, Sector 4, Dwarka, Delhi, 110075",,['9818780667'],[]
